book_id,country_name
206742,United Kingdom
205592,United States
205590,United Kingdom
203961,United Kingdom
203543,United Kingdom
125945,United States
198327,United States
200159,United Kingdom
198224,United Kingdom
121900,United Kingdom
198372,United States
195052,United Kingdom
181429,United Kingdom
181429,United States
195740,United Kingdom
195898,United Kingdom
193483,United Kingdom
191469,United States
190161,United Kingdom
191362,United Kingdom
191839,United States
192334,United Kingdom
192194,United Kingdom
186192,United Kingdom
176929,United Kingdom
190422,United States
191363,United Kingdom
190162,United Kingdom
188206,United Kingdom
188206,United States
187722,United Kingdom
186630,United Kingdom
77580,United Kingdom
187966,United Kingdom
182078,United Kingdom
182078,United States
180552,United Kingdom
129068,United Kingdom
182075,United Kingdom
180786,United Kingdom
180786,United States
182073,United Kingdom
179000,United States
176325,United Kingdom
174565,United Kingdom
176446,United Kingdom
176234,United Kingdom
174412,United States
162293,United Kingdom
167143,United Kingdom
167203,United Kingdom
164522,United Kingdom
162301,United Kingdom
163446,United Kingdom
146046,United Kingdom
9788,Canada
140796,United Kingdom
146817,United Kingdom
125805,United Kingdom
143737,United Kingdom
139090,United Kingdom
111275,United States
133862,United Kingdom
129477,United Kingdom
128057,United Kingdom
125809,United Kingdom
125782,United Kingdom
117209,United Kingdom
109929,United Kingdom
163648,United Kingdom
107871,United Kingdom
104953,United Kingdom
88843,France
101182,United States
89689,United Kingdom
43535,United Kingdom
81036,United Kingdom
81036,United States
78420,United Kingdom
15348,United Kingdom
11498,United Kingdom
11497,United Kingdom
195080,United Kingdom
187838,United Kingdom
176067,United Kingdom
155854,United Kingdom
136052,United Kingdom
130939,United Kingdom
131476,United Kingdom
79738,France
47351,United States
74916,United Kingdom
69689,Canada
