id,name
12631,Yotam Ottolenghi
79186,Noor Murad
956,Jamie Oliver
56948,Sabrina Ghayour
78432,Ixta Belfrage
53399,Katie Sullivan Morford
49203,Stanley Tucci
1387,Linda Collister
5521,Mary Berry
66880,Yasmin Khan
56704,Anna Jones
65626,Joe Wicks
76647,Tara Wigley
12671,Sami Tamimi
51458,Lior Lev Sercarz
6323,Genevieve Ko
68433,Georgina Hayden
1785,Nigel Slater
541,Diana Henry
57948,Meera Sodha
67005,Rukmini Iyer
41142,John Gregory-Smith
41581,Felicity Cloake
68334,Nadiya Hussain
886,Hugh Fearnley-Whittingstall
1786,Nigella Lawson
54533,Mary-Anne Boermans
70338,Helen Goh
59000,Izy Hossack
42640,Béatrice Peltre
22393,Paul Hollywood
896,Ilana Simon
819,Gordon Ramsay
90,Andy Harris
12606,David Loftus
7217,Christophe Felder
53359,James Morton
29397,Frédéric Bau
8033,Larousse Editors
77409,Megan Rossi
73853,Dr Hazel Wallace
20920,DK
11684,Annie Rigg
61917,Hotel Chocolat
12348,Denise Smart
9806,Carol Wilson
9569,Christopher Trotter
124,Anne Sheasby
1857,Paul Bocuse
38537,Hubert Delorme
38538,Vincent Boue
10870,Jeannette Bessinger
42706,Collectif
23928,Josée di Stasio
45344,Lorraine Boisvenue
80607,Calvin Von Niebel
64518,Ramael Scully
42639,Deb Perelman
4544,Prue Leith
4537,Good Food Magazine
